$ vm-block

[0 2FFF] rw  12288 bytes 
[80000000 800FFFFF] rw  1048576 bytes 
[80100000 80107FFF] r   32768 bytes 
[80108000 8DFFFFFF] rw  233799680 bytes 

[0 3FFF] rw  16384 bytes 
[80000000 800FFFFF] rw  1048576 bytes 
[80100000 80107FFF] r   32768 bytes 
[80108000 8DFFFFFF] rw  233799680 bytes 

[0 6FFF] rw  28672 bytes 
[80000000 800FFFFF] rw  1048576 bytes 
[80100000 80107FFF] r   32768 bytes 
[80108000 8DFFFFFF] rw  233799680 bytes 

[0 11FFF] rw  73728 bytes 
[80000000 800FFFFF] rw  1048576 bytes 
[80100000 80107FFF] r   32768 bytes 
[80108000 8DFFFFFF] rw  233799680 bytes 

$ 
